22/11/2024 00:03:14 Epoch 0/100 summary: loss_train=1.07897, acc_train=41.23%, loss_val=0.00, acc_val=45.67% (best: 45.67% @ epoch None)
22/11/2024 00:04:46 Epoch 1/100 summary: loss_train=1.05170, acc_train=44.82%, loss_val=0.00, acc_val=48.00% (best: 48.00% @ epoch None)
22/11/2024 00:06:19 Epoch 2/100 summary: loss_train=1.03706, acc_train=45.58%, loss_val=0.00, acc_val=56.67% (best: 56.67% @ epoch None)
22/11/2024 00:07:51 Epoch 3/100 summary: loss_train=1.03259, acc_train=47.00%, loss_val=0.00, acc_val=48.67% (best: 56.67% @ epoch None)
22/11/2024 00:09:21 Epoch 4/100 summary: loss_train=1.05372, acc_train=43.63%, loss_val=0.00, acc_val=49.67% (best: 56.67% @ epoch None)
22/11/2024 00:10:52 Epoch 5/100 summary: loss_train=1.02876, acc_train=46.77%, loss_val=0.00, acc_val=45.00% (best: 56.67% @ epoch None)
22/11/2024 00:12:22 Epoch 6/100 summary: loss_train=1.02034, acc_train=47.69%, loss_val=0.00, acc_val=54.67% (best: 56.67% @ epoch None)
22/11/2024 00:13:55 Epoch 7/100 summary: loss_train=0.99296, acc_train=52.57%, loss_val=0.00, acc_val=52.67% (best: 56.67% @ epoch None)
22/11/2024 00:15:26 Epoch 8/100 summary: loss_train=0.98543, acc_train=51.88%, loss_val=0.00, acc_val=50.00% (best: 56.67% @ epoch None)
22/11/2024 00:16:55 Epoch 9/100 summary: loss_train=0.96393, acc_train=54.68%, loss_val=0.00, acc_val=55.67% (best: 56.67% @ epoch None)
22/11/2024 00:18:25 Epoch 10/100 summary: loss_train=0.97549, acc_train=54.22%, loss_val=0.00, acc_val=53.00% (best: 56.67% @ epoch None)
22/11/2024 00:19:54 Epoch 11/100 summary: loss_train=0.94478, acc_train=56.56%, loss_val=0.00, acc_val=50.67% (best: 56.67% @ epoch None)
22/11/2024 00:21:23 Epoch 12/100 summary: loss_train=0.94400, acc_train=56.83%, loss_val=0.00, acc_val=62.00% (best: 62.00% @ epoch None)
22/11/2024 00:22:53 Epoch 13/100 summary: loss_train=0.93086, acc_train=58.61%, loss_val=0.00, acc_val=57.00% (best: 62.00% @ epoch None)
22/11/2024 00:24:21 Epoch 14/100 summary: loss_train=0.93492, acc_train=58.08%, loss_val=0.00, acc_val=54.33% (best: 62.00% @ epoch None)
22/11/2024 00:25:50 Epoch 15/100 summary: loss_train=0.92219, acc_train=59.73%, loss_val=0.00, acc_val=60.33% (best: 62.00% @ epoch None)
22/11/2024 00:27:20 Epoch 16/100 summary: loss_train=0.93982, acc_train=58.08%, loss_val=0.00, acc_val=61.67% (best: 62.00% @ epoch None)
22/11/2024 00:28:50 Epoch 17/100 summary: loss_train=0.90492, acc_train=61.11%, loss_val=0.00, acc_val=64.00% (best: 64.00% @ epoch None)
22/11/2024 00:30:20 Epoch 18/100 summary: loss_train=0.91827, acc_train=61.21%, loss_val=0.00, acc_val=65.00% (best: 65.00% @ epoch None)
22/11/2024 00:31:49 Epoch 19/100 summary: loss_train=0.91343, acc_train=61.08%, loss_val=0.00, acc_val=57.67% (best: 65.00% @ epoch None)
22/11/2024 00:33:21 Epoch 20/100 summary: loss_train=0.91216, acc_train=60.39%, loss_val=0.00, acc_val=65.00% (best: 65.00% @ epoch None)
22/11/2024 00:34:50 Epoch 21/100 summary: loss_train=0.91517, acc_train=60.36%, loss_val=0.00, acc_val=63.00% (best: 65.00% @ epoch None)
22/11/2024 00:36:19 Epoch 22/100 summary: loss_train=0.87298, acc_train=63.65%, loss_val=0.00, acc_val=64.33% (best: 65.00% @ epoch None)
22/11/2024 00:37:49 Epoch 23/100 summary: loss_train=0.87895, acc_train=63.62%, loss_val=0.00, acc_val=61.67% (best: 65.00% @ epoch None)
22/11/2024 00:39:17 Epoch 24/100 summary: loss_train=0.86863, acc_train=63.36%, loss_val=0.00, acc_val=71.33% (best: 71.33% @ epoch None)
22/11/2024 00:40:47 Epoch 25/100 summary: loss_train=0.88448, acc_train=63.52%, loss_val=0.00, acc_val=65.67% (best: 71.33% @ epoch None)
22/11/2024 00:42:16 Epoch 26/100 summary: loss_train=0.85557, acc_train=65.04%, loss_val=0.00, acc_val=71.00% (best: 71.33% @ epoch None)
22/11/2024 00:43:46 Epoch 27/100 summary: loss_train=0.85320, acc_train=65.27%, loss_val=0.00, acc_val=62.67% (best: 71.33% @ epoch None)
22/11/2024 00:45:18 Epoch 28/100 summary: loss_train=0.84628, acc_train=66.52%, loss_val=0.00, acc_val=68.67% (best: 71.33% @ epoch None)
22/11/2024 00:46:50 Epoch 29/100 summary: loss_train=0.84174, acc_train=66.92%, loss_val=0.00, acc_val=69.67% (best: 71.33% @ epoch None)
22/11/2024 00:48:19 Epoch 30/100 summary: loss_train=0.76632, acc_train=72.46%, loss_val=0.00, acc_val=76.33% (best: 76.33% @ epoch None)
22/11/2024 00:49:49 Epoch 31/100 summary: loss_train=0.73455, acc_train=74.21%, loss_val=0.00, acc_val=74.00% (best: 76.33% @ epoch None)
22/11/2024 00:51:17 Epoch 32/100 summary: loss_train=0.73195, acc_train=75.10%, loss_val=0.00, acc_val=77.67% (best: 77.67% @ epoch None)
22/11/2024 00:52:48 Epoch 33/100 summary: loss_train=0.73194, acc_train=73.98%, loss_val=0.00, acc_val=76.33% (best: 77.67% @ epoch None)
22/11/2024 00:54:17 Epoch 34/100 summary: loss_train=0.73301, acc_train=74.87%, loss_val=0.00, acc_val=79.33% (best: 79.33% @ epoch None)
22/11/2024 00:55:46 Epoch 35/100 summary: loss_train=0.72384, acc_train=75.63%, loss_val=0.00, acc_val=77.33% (best: 79.33% @ epoch None)
22/11/2024 00:57:15 Epoch 36/100 summary: loss_train=0.70893, acc_train=75.89%, loss_val=0.00, acc_val=79.67% (best: 79.67% @ epoch None)
22/11/2024 00:58:44 Epoch 37/100 summary: loss_train=0.70399, acc_train=76.02%, loss_val=0.00, acc_val=77.67% (best: 79.67% @ epoch None)
22/11/2024 01:00:14 Epoch 38/100 summary: loss_train=0.70079, acc_train=75.76%, loss_val=0.00, acc_val=79.00% (best: 79.67% @ epoch None)
22/11/2024 01:01:43 Epoch 39/100 summary: loss_train=0.70604, acc_train=75.89%, loss_val=0.00, acc_val=75.00% (best: 79.67% @ epoch None)
22/11/2024 01:03:12 Epoch 40/100 summary: loss_train=0.68806, acc_train=76.98%, loss_val=0.00, acc_val=81.33% (best: 81.33% @ epoch None)
22/11/2024 01:04:41 Epoch 41/100 summary: loss_train=0.68124, acc_train=77.77%, loss_val=0.00, acc_val=81.33% (best: 81.33% @ epoch None)
22/11/2024 01:06:10 Epoch 42/100 summary: loss_train=0.68830, acc_train=77.47%, loss_val=0.00, acc_val=78.00% (best: 81.33% @ epoch None)
22/11/2024 01:07:39 Epoch 43/100 summary: loss_train=0.68294, acc_train=78.20%, loss_val=0.00, acc_val=80.67% (best: 81.33% @ epoch None)
22/11/2024 01:09:09 Epoch 44/100 summary: loss_train=0.67413, acc_train=77.57%, loss_val=0.00, acc_val=79.33% (best: 81.33% @ epoch None)
22/11/2024 01:10:38 Epoch 45/100 summary: loss_train=0.66981, acc_train=78.53%, loss_val=0.00, acc_val=80.67% (best: 81.33% @ epoch None)
22/11/2024 01:12:07 Epoch 46/100 summary: loss_train=0.67702, acc_train=77.57%, loss_val=0.00, acc_val=82.67% (best: 82.67% @ epoch None)
22/11/2024 01:13:37 Epoch 47/100 summary: loss_train=0.68330, acc_train=78.13%, loss_val=0.00, acc_val=79.33% (best: 82.67% @ epoch None)
22/11/2024 01:15:06 Epoch 48/100 summary: loss_train=0.66279, acc_train=79.35%, loss_val=0.00, acc_val=85.00% (best: 85.00% @ epoch None)
22/11/2024 01:16:35 Epoch 49/100 summary: loss_train=0.65329, acc_train=79.39%, loss_val=0.00, acc_val=83.00% (best: 85.00% @ epoch None)
